phase,prefill_or_decode,wall_ms,cuda_kernel_time_ms,kernel_count,dominant_kernels,communication_present,communication_type,memcpy_present,resource_class,evidence_type,confidence,notes
VISION_PATCH,prefill,2.775151,0.038272,4,nvjet_tst_144x64_64x8_1x2_h_bz_bias_TNN (4),YES,UNKNOWN,NO,UNKNOWN,FULL_SERVING_OBSERVED,HIGH,Shortest enclosing NVTX range + CUDA kernel overlap.
VISION_ATTN,prefill,150.143438,5.517742,737,"nvjet_tst_112x128_64x7_2x1_v_bz_bias_TNN (101); void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3) (101); rotary_kernel (101)",YES,UNKNOWN,NO,COMPUTE_HEAVY,FULL_SERVING_OBSERVED,HIGH,Shortest enclosing NVTX range + CUDA kernel overlap.
VISION_MLP,prefill,45.85106,3.012995,315,"nvjet_tst_136x128_64x6_1x2_h_bz_bias_TNN (87); void at::native::vectorized_elementwise_kernel<(int)8, at::native::GeluCUDAKernelImpl(at::TensorIteratorBase &, at::native::GeluType)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3) (87); nvjet_tst_144x64_64x8_1x2_h_bz_bias_TNN (54)",YES,UNKNOWN,NO,COMPUTE_HEAVY,FULL_SERVING_OBSERVED,HIGH,Shortest enclosing NVTX range + CUDA kernel overlap.
VISION_MERGER,prefill,6.134868,0.524736,61,"void at::native::<unnamed>::vectorized_layer_norm_kernel<c10::BFloat16, float, (bool)0>(int, T2, const T1 *, const T1 *, const T1 *, T2 *, T2 *, T1 *) (14); nvjet_tst_72x64_64x12_1x2_h_bz_bias_TNN (12); void at::native::vectorized_elementwise_kernel<(int)8, at::native::GeluCUDAKernelImpl(at::TensorIteratorBase &, at::native::GeluType)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3) (12)",YES,UNKNOWN,NO,UNKNOWN,FULL_SERVING_OBSERVED,HIGH,Shortest enclosing NVTX range + CUDA kernel overlap.
LLM_PREFILL,prefill,525.014818,1.523557,338,"std::enable_if<T2>(int)0&&vllm::_typeConvert<T1>::exists, void>::type vllm::fused_add_rms_norm_kernel<c10::BFloat16, (int)8>(T1 *, long, T1 *, const T1 *, float, int, int) (326); ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>) (5); void vllm::rms_norm_kernel<c10::BFloat16, (int)8, (int)2>(T1 *, const T1 *, long, long, long, long, long, const T1 *, float, int, int) (3)",YES,UNKNOWN,NO,COMMUNICATION_MIXED,FULL_SERVING_OBSERVED,HIGH,Shortest enclosing NVTX range + CUDA kernel overlap.
LLM_QKV,prefill,0.0,0.0,0,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SOURCE_INFERRED,LOW,No observed kernel/range for this phase in the capture.
LLM_ATTN,prefill,4173.766695,12.202039,2173,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3) (389); void vllm::rms_norm_kernel<c10::BFloat16, (int)8, (int)3>(T1 *, const T1 *, long, long, long, long, long, const T1 *, float, int, int) (384); nvjet_tst_64x96_64x10_4x1_v_bz_TNT (192)",YES,UNKNOWN,NO,COMMUNICATION_MIXED,FULL_SERVING_OBSERVED,HIGH,Shortest enclosing NVTX range + CUDA kernel overlap.
LLM_O_PROJ,prefill,0.0,0.0,0,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SOURCE_INFERRED,LOW,No observed kernel/range for this phase in the capture.
TP_COMM,prefill,0,569.239875,6408,"void vllm::cross_device_reduce_1stage<__nv_bfloat16, (int)2>(vllm::RankData *, vllm::RankSignals, vllm::Signal *, T1 *, int, int) (6408)",YES,DeepEP/NCCL kernel evidence,NO,COMMUNICATION_MIXED,FULL_SERVING_OBSERVED,MEDIUM,Kernel-name mapping; no full-serving NVTX range.
ROUTER_TOPK,prefill,11621.640403,26.602456,6144,"void vllm::moe::topkGating<(int)8, (int)128, (int)4, (int)16, (int)32, long, __nv_bfloat16, (vllm::moe::ScoringFunc)0>(const T7 *, const bool *, float *, int, T6 *, int *, int, int, int, bool, const float *) (6144)",YES,UNKNOWN,NO,ROUTING,FULL_SERVING_OBSERVED,HIGH,Shortest enclosing NVTX range + CUDA kernel overlap.
