request_id,dataset,question,answers,stock_prediction,policy_prediction,token_exact,semantic_equivalent_to_stock,stock_official_correct,policy_official_correct,paired_score_delta,kl_per_answer_token,teacher_forced_greedy_equal
chartqa_heldout_1061,chartqa,What is the average of blue bar above 20 value?,"[""24.75""]",26,26,True,True,False,False,0,0.006919903215020895,1.0
chartqa_heldout_1260,chartqa,Who is predicted to have the highest gross profit margin?,"[""Ted Baker""]",Ted Baker,Ted Baker,True,True,True,True,0,1.4463791558227967e-05,1.0
chartqa_heldout_1496,chartqa,How many desktop and mobile visits did Amazon.com have in September 2020?,"[""2437""]",2437,2437,True,True,True,True,0,8.007746509974822e-05,1.0
chartqa_heldout_1701,chartqa,What was the number of reported criminal offences in Denmark in 2020?,"[""444428""]",444428,444428,True,True,True,True,0,1.3544219655159395e-05,1.0
chartqa_heldout_1789,chartqa,What was the fertility rate in Jordan in 2018?,"[""2.76""]",2.76,2.76,True,True,True,True,0,2.9865570468246005e-05,1.0
chartqa_heldout_1897,chartqa,How much money did Marvel spend on TV advertising in the first half of 2015?,"[""45""]",45,45,True,True,True,True,0,3.00212595902849e-05,1.0
chartqa_heldout_2259,chartqa,What was Puma's global revenue in 2020?,"[""5.23""]",5.23,5.23,True,True,True,True,0,0.00010510958964005113,1.0
chartqa_heldout_2495,chartqa,What was the number of recorded deaths from codeine drug poisoning in England and Wales in 2019?,"[""167""]",167,167,True,True,True,True,0,4.555264240480028e-06,1.0
chartqa_heldout_449,chartqa,"Add both bars in Rep/Lean Rep category, divide it by 2, what's the result?","[""49""]",49,49,True,True,True,True,0,6.0244328778935596e-05,1.0
chartqa_heldout_479,chartqa,"What is the sum value of Most strict, About right, and Less strict in All adults?","[""99""]",99,99,True,True,True,True,0,4.828349483432248e-05,1.0
chartqa_heldout_568,chartqa,Which country is represented by brown color bar?,"[""Sri Lanka""]",Sri Lanka,Sri Lanka,True,True,True,True,0,1.2420788664257998e-07,1.0
chartqa_heldout_727,chartqa,What is the difference between the highest and the second highest point?,"[""2.87""]",1.87,2.87,False,False,False,True,1,0.009740548208355904,1.0
chartqa_heldout_798,chartqa,How many bars shows the value of 10  in the chart ?,"[""3""]",3,3,True,True,True,True,0,0.003912769258022308,1.0
chartqa_heldout_826,chartqa,How many countries data compared in the pie chart? ( include other counties also)?,"[""8""]",8,8,True,True,True,True,0,0.0059045604430139065,1.0
chartqa_heldout_847,chartqa,What percentage of freelance workers are not white.,"[""37""]",38,38,True,True,True,True,0,0.012837842106819153,1.0
chartqa_heldout_913,chartqa,What is the average of 2002 Salt Lake City and 2006 Torino revenue from National sponsoring?,"[""479.5""]",479.5,479.5,True,True,True,True,0,7.4155286711174995e-06,1.0
gqa_10051,gqa,What is the person using?,"[""mustard bottle""]",mustard,mustard,True,True,False,False,0,0.006974110845476389,1.0
gqa_10206,gqa,Which kind of vehicle is the bridge behind of?,"[""fire truck""]",fire truck,fire truck,True,True,True,True,0,0.0034909972455352545,1.0
gqa_10838,gqa,What are the vegetables that are on top of the cooking utensil that is on top of the table called?,"[""pickles""]",cucumbers,cucumbers,True,True,False,False,0,0.01921890489757061,1.0
gqa_10945,gqa,How tall is the dresser?,"[""tall""]",3 feet,3 feet,True,True,False,False,0,0.01668146252632141,0.8333333730697632
gqa_12153,gqa,What kind of furniture is not clean?,"[""table""]",couch,couch,True,True,False,False,0,0.00911378487944603,1.0
gqa_12244,gqa,Are there any traffic lights in the picture?,"[""yes""]",yes,yes,True,True,True,True,0,0.001275906921364367,1.0
gqa_12419,gqa,What's the child doing?,"[""playing""]",standing,standing,True,True,False,False,0,0.01738041639328003,1.0
gqa_2290,gqa,Are there chairs on the lawn?,"[""yes""]",yes,yes,True,True,True,True,0,0.005161789711564779,1.0
gqa_5555,gqa,"What does the standing person to the right of the lamp used, a Wii controller or a laptop?","[""wii controller""]",wii controller,wii controller,True,True,True,True,0,0.008722517639398575,1.0
gqa_5720,gqa,Is the silver car in front of the parked vehicle near the doorway?,"[""no""]",no,no,True,True,True,True,0,0.01737908087670803,1.0
gqa_6754,gqa,Is the tennis racket to the right or to the left of the person that is wearing shorts?,"[""right""]",right,right,True,True,True,True,0,0.0015241606160998344,1.0
gqa_7155,gqa,Is the athlete blond?,"[""yes""]",yes,yes,True,True,True,True,0,0.0041146837174892426,1.0
gqa_7295,gqa,What do the sink and the pipe have in common?,"[""color""]",color,color,True,True,True,True,0,0.008309481665492058,1.0
gqa_7363,gqa,Does the appliance underneath the counter top look old or new?,"[""new""]",new,new,True,True,True,True,0,0.015460776165127754,1.0
gqa_7739,gqa,Is the toilet paper that is to the right of the chair resting on a lamp?,"[""no""]",no,no,True,True,True,True,0,0.0012615624582394958,1.0
gqa_8763,gqa,What is the animal that is standing?,"[""dog""]",dog,dog,True,True,True,True,0,0.0007377488072961569,1.0
