layer,rank,token_bucket,vision_request_id,text_request_id,vision_n,text_n,vision_g,text_g,vision_q,text_q,vision_ms,text_ms,relative_n_error,relative_latency_residual,absolute_latency_gap_ms,vision_histogram,text_histogram,vision_is_actual_critical,text_is_actual_critical
0,0,medium,motorcycle,text_12_cell,874,846,32,32,34,35,0.4409280121326446,0.4346559941768646,0.032036613272311214,0.01442984346197207,0.006272017955779974,"[34, 25, 13, 15, 19, 55, 4, 18, 87, 14, 21, 47, 12, 61, 31, 9, 32, 8, 17, 49, 14, 69, 12, 8, 29, 30, 13, 35, 14, 31, 11, 37]","[12, 11, 22, 31, 27, 61, 24, 17, 8, 219, 15, 21, 32, 3, 13, 17, 13, 12, 13, 1, 24, 23, 13, 29, 27, 30, 21, 17, 6, 22, 30, 32]",True,True
0,1,large,fast_gptq,text_21_fast_gptq,3282,3335,32,32,41,42,0.5194560289382935,0.5074880123138428,0.015892053973013492,0.023582855819359372,0.011968016624450684,"[91, 98, 215, 132, 203, 151, 116, 4, 224, 59, 114, 37, 45, 66, 10, 90, 82, 77, 61, 214, 229, 106, 238, 103, 41, 59, 170, 13, 13, 73, 40, 108]","[165, 76, 92, 22, 273, 147, 134, 512, 46, 80, 42, 170, 54, 102, 50, 89, 122, 96, 83, 9, 100, 87, 74, 7, 81, 31, 62, 169, 89, 79, 97, 95]",False,False
0,1,small,camera,text_05_coffee,497,495,31,31,31,31,0.4331200122833252,0.4322560131549835,0.004024144869215292,0.001998813439367586,0.0008639991283416748,"[22, 14, 23, 5, 5, 11, 0, 27, 3, 16, 6, 4, 10, 12, 19, 11, 1, 21, 28, 38, 10, 8, 2, 19, 7, 15, 13, 30, 24, 16, 15, 62]","[22, 30, 7, 7, 28, 26, 28, 3, 8, 5, 3, 9, 6, 13, 40, 17, 26, 36, 18, 2, 23, 25, 6, 0, 9, 11, 19, 4, 15, 22, 16, 11]",False,True
0,1,small,clock_motion,text_04_color_wheel,292,305,30,30,30,30,0.4212799966335296,0.4214400053024292,0.04262295081967213,-0.0003796712862718099,-0.00016000866889959164,"[19, 16, 2, 25, 5, 3, 1, 17, 11, 1, 4, 18, 2, 10, 6, 8, 0, 7, 3, 24, 1, 19, 0, 6, 6, 52, 4, 5, 6, 2, 3, 6]","[3, 7, 15, 6, 44, 10, 5, 0, 9, 4, 15, 5, 12, 6, 6, 7, 5, 7, 9, 1, 5, 17, 14, 0, 21, 2, 5, 10, 13, 9, 21, 12]",False,False
0,1,small,coins,text_01_clock_motion,247,235,30,30,30,30,0.4180479943752289,0.4178560078144073,0.048582995951417005,0.0004594562653910117,0.00019198656082158871,"[7, 23, 24, 10, 1, 11, 2, 2, 0, 2, 10, 1, 2, 4, 9, 12, 0, 7, 6, 3, 3, 6, 7, 2, 15, 15, 54, 1, 2, 1, 2, 3]","[9, 17, 10, 1, 28, 11, 9, 0, 3, 3, 2, 5, 7, 6, 6, 3, 7, 14, 4, 3, 2, 6, 7, 0, 31, 3, 2, 7, 5, 4, 13, 7]",False,False
0,2,large,fast_gptq,text_19_tui_log,2688,2573,32,32,39,37,0.5152639746665955,0.4921599924564361,0.042782738095238096,0.046944047798042954,0.023103982210159357,"[27, 36, 150, 171, 46, 110, 50, 272, 78, 33, 42, 128, 141, 44, 161, 68, 100, 36, 12, 31, 37, 63, 89, 79, 89, 31, 11, 98, 105, 41, 110, 199]","[93, 127, 67, 132, 32, 41, 44, 27, 187, 73, 46, 85, 250, 120, 102, 146, 40, 43, 19, 77, 124, 121, 48, 44, 194, 61, 24, 28, 71, 34, 10, 63]",False,True
0,2,small,camera,text_06_moon,599,604,32,32,33,32,0.4345920085906982,0.4291839897632599,0.008278145695364239,0.012600700297374479,0.005408018827438299,"[26, 21, 7, 30, 9, 1, 8, 11, 8, 21, 41, 27, 25, 29, 5, 36, 4, 8, 26, 65, 12, 12, 7, 6, 17, 51, 11, 31, 7, 20, 6, 11]","[22, 23, 17, 24, 3, 13, 25, 3, 38, 5, 2, 44, 24, 26, 28, 47, 17, 15, 6, 31, 21, 14, 23, 16, 29, 19, 3, 8, 25, 14, 3, 16]",True,False
0,2,small,clock_motion,text_00_coins,268,280,30,30,30,30,0.4205439984798431,0.4148479998111725,0.04285714285714286,0.01373032694206855,0.005695998668670599,"[9, 21, 2, 31, 2, 0, 22, 3, 3, 7, 0, 2, 6, 21, 7, 7, 9, 9, 4, 5, 6, 7, 8, 1, 1, 31, 20, 4, 3, 3, 2, 12]","[15, 8, 9, 16, 2, 4, 4, 3, 21, 4, 1, 21, 4, 16, 13, 17, 7, 10, 1, 10, 13, 4, 11, 7, 10, 14, 0, 8, 16, 6, 0, 5]",False,False
0,3,large,model_card,text_16_model_card,1639,1725,32,32,33,32,0.476063996553421,0.4624960124492645,0.049855072463768114,0.02933643477768344,0.013567984104156494,"[44, 16, 24, 26, 49, 42, 20, 9, 81, 67, 49, 51, 33, 145, 7, 25, 38, 56, 116, 89, 18, 20, 35, 16, 118, 94, 41, 28, 84, 77, 86, 35]","[58, 36, 101, 36, 58, 34, 36, 28, 28, 62, 36, 25, 7, 92, 31, 49, 100, 22, 72, 35, 38, 64, 82, 79, 66, 89, 59, 38, 87, 54, 63, 60]",False,False
0,3,large,tui_model_selection,text_20_tui_model_selection,2535,2491,32,32,38,39,0.4880959987640381,0.4872959852218628,0.01735700197238659,0.0016417404748596542,0.000800013542175293,"[64, 233, 23, 63, 67, 70, 87, 6, 133, 41, 61, 38, 106, 36, 54, 81, 178, 143, 91, 186, 49, 81, 79, 27, 53, 25, 89, 58, 133, 50, 73, 57]","[28, 80, 131, 51, 35, 74, 25, 55, 27, 137, 70, 46, 8, 48, 72, 58, 298, 8, 39, 99, 119, 42, 96, 50, 142, 50, 114, 19, 183, 83, 165, 39]",False,False
