dataset,candidate,scope,measured_pairwise,perfect_or_credible_e2e_percent,direct_request_e2e_percent,service_throughput_upper_percent,max_every_wave_service_upper_percent,boundary,prior_art_risk,decision
gsm8k,shared_expert_vs_routed_ep,same-request exact,combine||shared positive in some sampled shapes,2.9820640177160187,2.9820640177160187,,,full shared contribution is the absolute ceiling; current source serializes it,DIRECT_ADJACENT_SGLANG_SBO_MEGATRON,KILL_LT5_AND_PRIOR_ART
gsm8k,remote_dispatch_vs_local_source_expert,same-request exact,negative median saving in all sampled physical shapes,0.0,0.0,,,exact algebraic independence exists but H100 contention exceeds overlap,generic locality overlap,KILL_CONTENTION
gsm8k,communication_vs_attention,cross-request exact,dispatch||attention negative; combine||attention weak/mixed,0.0,0.0,,,independent requests only; no stable complementarity,TBO/DBO,KILL_CONTENTION
gsm8k,complete_wave_dispatch_expert_combine_pipeline,independent-wave steady-state service oracle,positive exact 3-stage diagnostic,4.352043586290303,0.0,4.352043586290303,4.840199388440157,sample-state median projected over independent waves; not direct request latency: t+1 depends on t and best-static mini32 has one wave,HIGH_TBO_COMET_STREAMEP_XSTAGE,CHARACTERIZATION_ONLY
gsm8k,phase_aware_pipeline_selection,dLLM phase-aware incremental oracle,"cross-state 2-stage efficiency varies, but no complete pipeline beats generic 3-stage",0.0,0.0,0.0,0.0,no demonstrated phase-aware increment over the generic complete-wave pipeline,generic phase multiplexing,KILL_NO_INCREMENT
gsm8k,next_step_input_independent_preparation,same-request exact,source audit: buffers/workspace persistent; routing metadata input-dependent,0.0,0.0,,,only static descriptors are precomputable and already amortized,runtime preallocation,KILL_LT5
humaneval,shared_expert_vs_routed_ep,same-request exact,combine||shared positive in some sampled shapes,3.500522558950439,3.500522558950439,,,full shared contribution is the absolute ceiling; current source serializes it,DIRECT_ADJACENT_SGLANG_SBO_MEGATRON,KILL_LT5_AND_PRIOR_ART
humaneval,remote_dispatch_vs_local_source_expert,same-request exact,negative median saving in all sampled physical shapes,0.0,0.0,,,exact algebraic independence exists but H100 contention exceeds overlap,generic locality overlap,KILL_CONTENTION
humaneval,communication_vs_attention,cross-request exact,dispatch||attention negative; combine||attention weak/mixed,0.0,0.0,,,independent requests only; no stable complementarity,TBO/DBO,KILL_CONTENTION
humaneval,complete_wave_dispatch_expert_combine_pipeline,independent-wave steady-state service oracle,positive exact 3-stage diagnostic,4.589236030915693,0.0,4.589236030915693,6.733780122527655,sample-state median projected over independent waves; not direct request latency: t+1 depends on t and best-static mini32 has one wave,HIGH_TBO_COMET_STREAMEP_XSTAGE,CHARACTERIZATION_ONLY
humaneval,phase_aware_pipeline_selection,dLLM phase-aware incremental oracle,"cross-state 2-stage efficiency varies, but no complete pipeline beats generic 3-stage",0.0,0.0,0.0,0.0,no demonstrated phase-aware increment over the generic complete-wave pipeline,generic phase multiplexing,KILL_NO_INCREMENT
humaneval,next_step_input_independent_preparation,same-request exact,source audit: buffers/workspace persistent; routing metadata input-dependent,0.0,0.0,,,only static descriptors are precomputable and already amortized,runtime preallocation,KILL_LT5
