experiment,physical_gpus,live_command_wall_seconds,research_question,burn_excluded
attention_smoke,4-7,17.78,exact CP attention replay sanity,YES
cp_crossover_main,4-7,18.86,CP1/2/4 crossover at 4K-32K,YES
cp_crossover_64k,4-7,25.79,CP crossover at 64K,YES
boundary_debug_runs,4-7,46.31,correct DeepEP expert mapping and stage attribution,YES
streaming_debug_runs,4-7,68.25,correct block readiness and workspace lifetime,YES
boundary_layer24,4-7,23.18,middle-layer handoff mass,YES
streaming_screen_layer24,4-7,26.79,initial exact streaming screen,YES
streaming_32k_layer24,4-7,28.38,32K replication,YES
streaming_formal_layer24,4-7,80.51,full block sweep with 30 repetitions,YES
boundary_layer4,4-7,25.12,early-layer replication,YES
streaming_layer4,4-7,25.32,early-layer streaming,YES
boundary_layer47,4-7,28.14,late-layer replication,YES
streaming_layer47,4-7,30.59,late-layer streaming,YES
boundary_64k_layer24,4-7,25.35,64K handoff mass,YES
streaming_64k_layer24,4-7,25.36,64K block-1024 streaming,YES
matched_mixed,4-7,24.10,matched mixed activation replay,YES
matched_vision,4-7,24.70,matched Vision activation replay,YES
matched_text,4-7,18.00,matched Text activation replay,YES
streaming_clean_timing,4-7,45.60,observer-tax-free causal control,YES
TOTAL,4-7,608.13,10.14 live four-GPU minutes = 0.676 GPU-hours,YES
