candidate,scope,provisional_ready_ms,exact_ready_ms,created_window_ms,eligible_downstream_ms,perfect_e2e_oracle_pct,feasible_e2e_oracle_pct,quality_gate,headroom_gate,evidence,notes
mass70_plain,one MoE boundary,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,0,FAIL,KILL,FRESH_LIVE_QWEN3VL_DEEPEP,No downstream timing was captured; quality failure or k≈8 prevents a non-zero safe window.
mass70_renormalized,one MoE boundary,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,0,FAIL,KILL,FRESH_LIVE_QWEN3VL_DEEPEP,No downstream timing was captured; quality failure or k≈8 prevents a non-zero safe window.
mass80_plain,one MoE boundary,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,0,FAIL,KILL,FRESH_LIVE_QWEN3VL_DEEPEP,No downstream timing was captured; quality failure or k≈8 prevents a non-zero safe window.
mass80_renormalized,one MoE boundary,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,0,FAIL,KILL,FRESH_LIVE_QWEN3VL_DEEPEP,No downstream timing was captured; quality failure or k≈8 prevents a non-zero safe window.
mass90_plain,one MoE boundary,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,0,FAIL,KILL,FRESH_LIVE_QWEN3VL_DEEPEP,No downstream timing was captured; quality failure or k≈8 prevents a non-zero safe window.
mass90_renormalized,one MoE boundary,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,0,FAIL,KILL,FRESH_LIVE_QWEN3VL_DEEPEP,No downstream timing was captured; quality failure or k≈8 prevents a non-zero safe window.
mass95_plain,one MoE boundary,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,0,FAIL,KILL,FRESH_LIVE_QWEN3VL_DEEPEP,No downstream timing was captured; quality failure or k≈8 prevents a non-zero safe window.
mass95_renormalized,one MoE boundary,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,0,FAIL,KILL,FRESH_LIVE_QWEN3VL_DEEPEP,No downstream timing was captured; quality failure or k≈8 prevents a non-zero safe window.
mass99_plain,one MoE boundary,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0 (no expert work omitted at mass99),0,PASS,NO_SAVED_WORK,FRESH_LIVE_QWEN3VL_DEEPEP,No downstream timing was captured; quality failure or k≈8 prevents a non-zero safe window.
mass99_renormalized,one MoE boundary,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0 (no expert work omitted at mass99),0,PASS,NO_SAVED_WORK,FRESH_LIVE_QWEN3VL_DEEPEP,No downstream timing was captured; quality failure or k≈8 prevents a non-zero safe window.
top1_plain,one MoE boundary,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,0,FAIL,KILL,FRESH_LIVE_QWEN3VL_DEEPEP,No downstream timing was captured; quality failure or k≈8 prevents a non-zero safe window.
top1_renormalized,one MoE boundary,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,0,FAIL,KILL,FRESH_LIVE_QWEN3VL_DEEPEP,No downstream timing was captured; quality failure or k≈8 prevents a non-zero safe window.
top2_plain,one MoE boundary,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,0,FAIL,KILL,FRESH_LIVE_QWEN3VL_DEEPEP,No downstream timing was captured; quality failure or k≈8 prevents a non-zero safe window.
top2_renormalized,one MoE boundary,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,0,FAIL,KILL,FRESH_LIVE_QWEN3VL_DEEPEP,No downstream timing was captured; quality failure or k≈8 prevents a non-zero safe window.
top4_plain,one MoE boundary,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,0,FAIL,KILL,FRESH_LIVE_QWEN3VL_DEEPEP,No downstream timing was captured; quality failure or k≈8 prevents a non-zero safe window.
top4_renormalized,one MoE boundary,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,0,FAIL,KILL,FRESH_LIVE_QWEN3VL_DEEPEP,No downstream timing was captured; quality failure or k≈8 prevents a non-zero safe window.
top6_plain,one MoE boundary,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,0,FAIL,KILL,FRESH_LIVE_QWEN3VL_DEEPEP,No downstream timing was captured; quality failure or k≈8 prevents a non-zero safe window.
top6_renormalized,one MoE boundary,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,0,FAIL,KILL,FRESH_LIVE_QWEN3VL_DEEPEP,No downstream timing was captured; quality failure or k≈8 prevents a non-zero safe window.
top7_plain,one MoE boundary,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,0,FAIL,KILL,FRESH_LIVE_QWEN3VL_DEEPEP,No downstream timing was captured; quality failure or k≈8 prevents a non-zero safe window.
