agrs_tokens,deepep_tokens,exact_token_agreement,iteration,request_id,restart,workload_id
1986,1986,True,1,dp0-r0,1,image1024_c2
1986,1986,True,1,dp1-r0,1,image1024_c2
1986,1986,True,2,dp0-r0,1,image1024_c2
1986,1986,True,2,dp1-r0,1,image1024_c2
1986,1986,True,3,dp0-r0,1,image1024_c2
1986,1986,True,3,dp1-r0,1,image1024_c2
1986,1986,True,1,dp0-r0,1,image448_c2
1986,1986,True,1,dp1-r0,1,image448_c2
1986,1986,True,2,dp0-r0,1,image448_c2
1986,1986,True,2,dp1-r0,1,image448_c2
1986,1986,True,3,dp0-r0,1,image448_c2
1986,1986,True,3,dp1-r0,1,image448_c2
323,323,True,1,dp0-r0,1,text2048_c2
323,323,True,1,dp1-r0,1,text2048_c2
323,323,True,2,dp0-r0,1,text2048_c2
323,323,True,2,dp1-r0,1,text2048_c2
323,323,True,3,dp0-r0,1,text2048_c2
323,323,True,3,dp1-r0,1,text2048_c2
1393,1393,True,1,dp0-r0,1,text512_c2
72217,72217,True,1,dp1-r0,1,text512_c2
1393,1393,True,2,dp0-r0,1,text512_c2
72217,72217,True,2,dp1-r0,1,text512_c2
1393,1393,True,3,dp0-r0,1,text512_c2
72217,72217,True,3,dp1-r0,1,text512_c2
1882,1882,True,1,dp0-r0,1,text8192_c2
1882,1882,True,1,dp1-r0,1,text8192_c2
1882,1882,True,2,dp0-r0,1,text8192_c2
1882,1882,True,2,dp1-r0,1,text8192_c2
1882,1882,True,3,dp0-r0,1,text8192_c2
1882,1882,True,3,dp1-r0,1,text8192_c2
1986,1986,True,1,dp0-r0,2,image1024_c2
1986,1986,True,1,dp1-r0,2,image1024_c2
1986,1986,True,2,dp0-r0,2,image1024_c2
1986,1986,True,2,dp1-r0,2,image1024_c2
1986,1986,True,3,dp0-r0,2,image1024_c2
1986,1986,True,3,dp1-r0,2,image1024_c2
1986,1986,True,1,dp0-r0,2,image448_c2
1986,1986,True,1,dp1-r0,2,image448_c2
1986,1986,True,2,dp0-r0,2,image448_c2
1986,1986,True,2,dp1-r0,2,image448_c2
1986,1986,True,3,dp0-r0,2,image448_c2
1986,1986,True,3,dp1-r0,2,image448_c2
323,323,True,1,dp0-r0,2,text2048_c2
323,323,True,1,dp1-r0,2,text2048_c2
323,323,True,2,dp0-r0,2,text2048_c2
323,323,True,2,dp1-r0,2,text2048_c2
323,323,True,3,dp0-r0,2,text2048_c2
323,323,True,3,dp1-r0,2,text2048_c2
1393,1393,True,1,dp0-r0,2,text512_c2
72217,72217,True,1,dp1-r0,2,text512_c2
1393,1393,True,2,dp0-r0,2,text512_c2
72217,72217,True,2,dp1-r0,2,text512_c2
1393,1393,True,3,dp0-r0,2,text512_c2
72217,72217,True,3,dp1-r0,2,text512_c2
1882,1882,True,1,dp0-r0,2,text8192_c2
1882,1882,True,1,dp1-r0,2,text8192_c2
1882,1882,True,2,dp0-r0,2,text8192_c2
1882,1882,True,2,dp1-r0,2,text8192_c2
1882,1882,True,3,dp0-r0,2,text8192_c2
1882,1882,True,3,dp1-r0,2,text8192_c2
1986,1986,True,1,dp0-r0,3,image1024_c2
1986,1986,True,1,dp1-r0,3,image1024_c2
1986,1986,True,2,dp0-r0,3,image1024_c2
1986,1986,True,2,dp1-r0,3,image1024_c2
1986,1986,True,3,dp0-r0,3,image1024_c2
1986,1986,True,3,dp1-r0,3,image1024_c2
1986,1986,True,1,dp0-r0,3,image448_c2
1986,1986,True,1,dp1-r0,3,image448_c2
1986,1986,True,2,dp0-r0,3,image448_c2
1986,1986,True,2,dp1-r0,3,image448_c2
1986,1986,True,3,dp0-r0,3,image448_c2
1986,1986,True,3,dp1-r0,3,image448_c2
323,323,True,1,dp0-r0,3,text2048_c2
323,323,True,1,dp1-r0,3,text2048_c2
323,323,True,2,dp0-r0,3,text2048_c2
323,323,True,2,dp1-r0,3,text2048_c2
323,323,True,3,dp0-r0,3,text2048_c2
323,323,True,3,dp1-r0,3,text2048_c2
1393,1393,True,1,dp0-r0,3,text512_c2
72217,72217,True,1,dp1-r0,3,text512_c2
1393,1393,True,2,dp0-r0,3,text512_c2
72217,72217,True,2,dp1-r0,3,text512_c2
1393,1393,True,3,dp0-r0,3,text512_c2
72217,72217,True,3,dp1-r0,3,text512_c2
1882,1882,True,1,dp0-r0,3,text8192_c2
1882,1882,True,1,dp1-r0,3,text8192_c2
1882,1882,True,2,dp0-r0,3,text8192_c2
1882,1882,True,2,dp1-r0,3,text8192_c2
1882,1882,True,3,dp0-r0,3,text8192_c2
1882,1882,True,3,dp1-r0,3,text8192_c2
1986,1986,True,1,dp0-r0,4,image1024_c2
1986,1986,True,1,dp1-r0,4,image1024_c2
1986,1986,True,2,dp0-r0,4,image1024_c2
1986,1986,True,2,dp1-r0,4,image1024_c2
1986,1986,True,3,dp0-r0,4,image1024_c2
1986,1986,True,3,dp1-r0,4,image1024_c2
1986,1986,True,1,dp0-r0,4,image448_c2
1986,1986,True,1,dp1-r0,4,image448_c2
1986,1986,True,2,dp0-r0,4,image448_c2
1986,1986,True,2,dp1-r0,4,image448_c2
1986,1986,True,3,dp0-r0,4,image448_c2
1986,1986,True,3,dp1-r0,4,image448_c2
323,323,True,1,dp0-r0,4,text2048_c2
323,323,True,1,dp1-r0,4,text2048_c2
323,323,True,2,dp0-r0,4,text2048_c2
323,323,True,2,dp1-r0,4,text2048_c2
323,323,True,3,dp0-r0,4,text2048_c2
323,323,True,3,dp1-r0,4,text2048_c2
1393,1393,True,1,dp0-r0,4,text512_c2
72217,72217,True,1,dp1-r0,4,text512_c2
1393,1393,True,2,dp0-r0,4,text512_c2
72217,72217,True,2,dp1-r0,4,text512_c2
1393,1393,True,3,dp0-r0,4,text512_c2
72217,72217,True,3,dp1-r0,4,text512_c2
1882,1882,True,1,dp0-r0,4,text8192_c2
1882,1882,True,1,dp1-r0,4,text8192_c2
1882,1882,True,2,dp0-r0,4,text8192_c2
1882,1882,True,2,dp1-r0,4,text8192_c2
1882,1882,True,3,dp0-r0,4,text8192_c2
1882,1882,True,3,dp1-r0,4,text8192_c2
1986,1986,True,1,dp0-r0,5,image1024_c2
1986,1986,True,1,dp1-r0,5,image1024_c2
1986,1986,True,2,dp0-r0,5,image1024_c2
1986,1986,True,2,dp1-r0,5,image1024_c2
1986,1986,True,3,dp0-r0,5,image1024_c2
1986,1986,True,3,dp1-r0,5,image1024_c2
1986,1986,True,1,dp0-r0,5,image448_c2
1986,1986,True,1,dp1-r0,5,image448_c2
1986,1986,True,2,dp0-r0,5,image448_c2
1986,1986,True,2,dp1-r0,5,image448_c2
1986,1986,True,3,dp0-r0,5,image448_c2
1986,1986,True,3,dp1-r0,5,image448_c2
323,323,True,1,dp0-r0,5,text2048_c2
323,323,True,1,dp1-r0,5,text2048_c2
323,323,True,2,dp0-r0,5,text2048_c2
323,323,True,2,dp1-r0,5,text2048_c2
323,323,True,3,dp0-r0,5,text2048_c2
323,323,True,3,dp1-r0,5,text2048_c2
1393,1393,True,1,dp0-r0,5,text512_c2
72217,72217,True,1,dp1-r0,5,text512_c2
1393,1393,True,2,dp0-r0,5,text512_c2
72217,72217,True,2,dp1-r0,5,text512_c2
1393,1393,True,3,dp0-r0,5,text512_c2
72217,72217,True,3,dp1-r0,5,text512_c2
1882,1882,True,1,dp0-r0,5,text8192_c2
1882,1882,True,1,dp1-r0,5,text8192_c2
1882,1882,True,2,dp0-r0,5,text8192_c2
1882,1882,True,2,dp1-r0,5,text8192_c2
1882,1882,True,3,dp0-r0,5,text8192_c2
1882,1882,True,3,dp1-r0,5,text8192_c2
