batch_size,policy,experimental_role,requests,total_pixels,total_images,total_question_words,family_histogram,max_dp_prompt_token_max_mean,median_dp_prompt_token_max_mean,pool_sha256,tokens_sha256,matched_global_marginals
16,P0_global_fixed,NATURAL_source_order,128,47600528,128,9907,"{""long_text_plus_image"": 32, ""single_real_image"": 32, ""text_only_no_image_control"": 32, ""two_real_images"": 32}",1.0037364130434783,1.0003584798110814,70943fad1bf750c6b4db1c20bd1847150aa8177fdc3f1b0fb88f066c049cf1d5,0906c01cfc6adb8e6b5a4def21ae78d67a3f6888f702201bfe03d3d4aec80ce9,True
16,P1_vision_bucket,ALIGNED_vision,128,47600528,128,9907,"{""long_text_plus_image"": 32, ""single_real_image"": 32, ""text_only_no_image_control"": 32, ""two_real_images"": 32}",1.0313513513513513,1.009186709867472,70943fad1bf750c6b4db1c20bd1847150aa8177fdc3f1b0fb88f066c049cf1d5,0906c01cfc6adb8e6b5a4def21ae78d67a3f6888f702201bfe03d3d4aec80ce9,True
16,P2_lm_length_bucket,ALIGNED_attention__conflict_screen_for_vision_moe,128,47600528,128,9907,"{""long_text_plus_image"": 32, ""single_real_image"": 32, ""text_only_no_image_control"": 32, ""two_real_images"": 32}",1.00418410041841,1.0003751119540594,70943fad1bf750c6b4db1c20bd1847150aa8177fdc3f1b0fb88f066c049cf1d5,0906c01cfc6adb8e6b5a4def21ae78d67a3f6888f702201bfe03d3d4aec80ce9,True
16,RANDOM,RANDOM,128,47600528,128,9907,"{""long_text_plus_image"": 32, ""single_real_image"": 32, ""text_only_no_image_control"": 32, ""two_real_images"": 32}",1.0310535340064775,1.0130020733035807,70943fad1bf750c6b4db1c20bd1847150aa8177fdc3f1b0fb88f066c049cf1d5,0906c01cfc6adb8e6b5a4def21ae78d67a3f6888f702201bfe03d3d4aec80ce9,True
16,single_multi_split,ALIGNED_coarse_image_count,128,47600528,128,9907,"{""long_text_plus_image"": 32, ""single_real_image"": 32, ""text_only_no_image_control"": 32, ""two_real_images"": 32}",1.0097228974234322,1.0004680436371376,70943fad1bf750c6b4db1c20bd1847150aa8177fdc3f1b0fb88f066c049cf1d5,0906c01cfc6adb8e6b5a4def21ae78d67a3f6888f702201bfe03d3d4aec80ce9,True
16,text_image_split,CONFLICTED_coarse_modality_separation,128,47600528,128,9907,"{""long_text_plus_image"": 32, ""single_real_image"": 32, ""text_only_no_image_control"": 32, ""two_real_images"": 32}",1.0097228974234322,1.0004680436371376,70943fad1bf750c6b4db1c20bd1847150aa8177fdc3f1b0fb88f066c049cf1d5,0906c01cfc6adb8e6b5a4def21ae78d67a3f6888f702201bfe03d3d4aec80ce9,True
32,P0_global_fixed,NATURAL_source_order,128,47600528,128,9907,"{""long_text_plus_image"": 32, ""single_real_image"": 32, ""text_only_no_image_control"": 32, ""two_real_images"": 32}",1.0007165890361878,1.000255796496044,70943fad1bf750c6b4db1c20bd1847150aa8177fdc3f1b0fb88f066c049cf1d5,0906c01cfc6adb8e6b5a4def21ae78d67a3f6888f702201bfe03d3d4aec80ce9,True
32,P1_vision_bucket,ALIGNED_vision,128,47600528,128,9907,"{""long_text_plus_image"": 32, ""single_real_image"": 32, ""text_only_no_image_control"": 32, ""two_real_images"": 32}",1.00164744645799,1.000538833910853,70943fad1bf750c6b4db1c20bd1847150aa8177fdc3f1b0fb88f066c049cf1d5,0906c01cfc6adb8e6b5a4def21ae78d67a3f6888f702201bfe03d3d4aec80ce9,True
32,P2_lm_length_bucket,ALIGNED_attention__conflict_screen_for_vision_moe,128,47600528,128,9907,"{""long_text_plus_image"": 32, ""single_real_image"": 32, ""text_only_no_image_control"": 32, ""two_real_images"": 32}",1.00164744645799,1.000759633054384,70943fad1bf750c6b4db1c20bd1847150aa8177fdc3f1b0fb88f066c049cf1d5,0906c01cfc6adb8e6b5a4def21ae78d67a3f6888f702201bfe03d3d4aec80ce9,True
32,RANDOM,RANDOM,128,47600528,128,9907,"{""long_text_plus_image"": 32, ""single_real_image"": 32, ""text_only_no_image_control"": 32, ""two_real_images"": 32}",1.00475854776172,1.0018370506562468,70943fad1bf750c6b4db1c20bd1847150aa8177fdc3f1b0fb88f066c049cf1d5,0906c01cfc6adb8e6b5a4def21ae78d67a3f6888f702201bfe03d3d4aec80ce9,True
32,single_multi_split,ALIGNED_coarse_image_count,128,47600528,128,9907,"{""long_text_plus_image"": 32, ""single_real_image"": 32, ""text_only_no_image_control"": 32, ""two_real_images"": 32}",1.00164744645799,1.000759633054384,70943fad1bf750c6b4db1c20bd1847150aa8177fdc3f1b0fb88f066c049cf1d5,0906c01cfc6adb8e6b5a4def21ae78d67a3f6888f702201bfe03d3d4aec80ce9,True
32,text_image_split,CONFLICTED_coarse_modality_separation,128,47600528,128,9907,"{""long_text_plus_image"": 32, ""single_real_image"": 32, ""text_only_no_image_control"": 32, ""two_real_images"": 32}",1.00164744645799,1.000759633054384,70943fad1bf750c6b4db1c20bd1847150aa8177fdc3f1b0fb88f066c049cf1d5,0906c01cfc6adb8e6b5a4def21ae78d67a3f6888f702201bfe03d3d4aec80ce9,True
64,P0_global_fixed,NATURAL_source_order,128,47600528,128,9907,"{""long_text_plus_image"": 32, ""single_real_image"": 32, ""text_only_no_image_control"": 32, ""two_real_images"": 32}",1.000404294506087,1.0002021472530433,70943fad1bf750c6b4db1c20bd1847150aa8177fdc3f1b0fb88f066c049cf1d5,0906c01cfc6adb8e6b5a4def21ae78d67a3f6888f702201bfe03d3d4aec80ce9,True
64,P1_vision_bucket,ALIGNED_vision,128,47600528,128,9907,"{""long_text_plus_image"": 32, ""single_real_image"": 32, ""text_only_no_image_control"": 32, ""two_real_images"": 32}",1.0000674354305752,1.0000337177152876,70943fad1bf750c6b4db1c20bd1847150aa8177fdc3f1b0fb88f066c049cf1d5,0906c01cfc6adb8e6b5a4def21ae78d67a3f6888f702201bfe03d3d4aec80ce9,True
64,P2_lm_length_bucket,ALIGNED_attention__conflict_screen_for_vision_moe,128,47600528,128,9907,"{""long_text_plus_image"": 32, ""single_real_image"": 32, ""text_only_no_image_control"": 32, ""two_real_images"": 32}",1.0001350001350002,1.0000675000675001,70943fad1bf750c6b4db1c20bd1847150aa8177fdc3f1b0fb88f066c049cf1d5,0906c01cfc6adb8e6b5a4def21ae78d67a3f6888f702201bfe03d3d4aec80ce9,True
64,RANDOM,RANDOM,128,47600528,128,9907,"{""long_text_plus_image"": 32, ""single_real_image"": 32, ""text_only_no_image_control"": 32, ""two_real_images"": 32}",1.0005918660691637,1.0005882123636884,70943fad1bf750c6b4db1c20bd1847150aa8177fdc3f1b0fb88f066c049cf1d5,0906c01cfc6adb8e6b5a4def21ae78d67a3f6888f702201bfe03d3d4aec80ce9,True
64,single_multi_split,ALIGNED_coarse_image_count,128,47600528,128,9907,"{""long_text_plus_image"": 32, ""single_real_image"": 32, ""text_only_no_image_control"": 32, ""two_real_images"": 32}",1.0003708434628538,1.0001854217314268,70943fad1bf750c6b4db1c20bd1847150aa8177fdc3f1b0fb88f066c049cf1d5,0906c01cfc6adb8e6b5a4def21ae78d67a3f6888f702201bfe03d3d4aec80ce9,True
64,text_image_split,CONFLICTED_coarse_modality_separation,128,47600528,128,9907,"{""long_text_plus_image"": 32, ""single_real_image"": 32, ""text_only_no_image_control"": 32, ""two_real_images"": 32}",1.0003708434628538,1.0001854217314268,70943fad1bf750c6b4db1c20bd1847150aa8177fdc3f1b0fb88f066c049cf1d5,0906c01cfc6adb8e6b5a4def21ae78d67a3f6888f702201bfe03d3d4aec80ce9,True
128,P0_global_fixed,NATURAL_source_order,128,47600528,128,9907,"{""long_text_plus_image"": 32, ""single_real_image"": 32, ""text_only_no_image_control"": 32, ""two_real_images"": 32}",1.0000217898154402,1.0000217898154402,70943fad1bf750c6b4db1c20bd1847150aa8177fdc3f1b0fb88f066c049cf1d5,0906c01cfc6adb8e6b5a4def21ae78d67a3f6888f702201bfe03d3d4aec80ce9,True
128,P1_vision_bucket,ALIGNED_vision,128,47600528,128,9907,"{""long_text_plus_image"": 32, ""single_real_image"": 32, ""text_only_no_image_control"": 32, ""two_real_images"": 32}",1.0000217898154402,1.0000217898154402,70943fad1bf750c6b4db1c20bd1847150aa8177fdc3f1b0fb88f066c049cf1d5,0906c01cfc6adb8e6b5a4def21ae78d67a3f6888f702201bfe03d3d4aec80ce9,True
128,P2_lm_length_bucket,ALIGNED_attention__conflict_screen_for_vision_moe,128,47600528,128,9907,"{""long_text_plus_image"": 32, ""single_real_image"": 32, ""text_only_no_image_control"": 32, ""two_real_images"": 32}",1.0000217898154402,1.0000217898154402,70943fad1bf750c6b4db1c20bd1847150aa8177fdc3f1b0fb88f066c049cf1d5,0906c01cfc6adb8e6b5a4def21ae78d67a3f6888f702201bfe03d3d4aec80ce9,True
128,RANDOM,RANDOM,128,47600528,128,9907,"{""long_text_plus_image"": 32, ""single_real_image"": 32, ""text_only_no_image_control"": 32, ""two_real_images"": 32}",1.0000217898154402,1.0000217898154402,70943fad1bf750c6b4db1c20bd1847150aa8177fdc3f1b0fb88f066c049cf1d5,0906c01cfc6adb8e6b5a4def21ae78d67a3f6888f702201bfe03d3d4aec80ce9,True
128,single_multi_split,ALIGNED_coarse_image_count,128,47600528,128,9907,"{""long_text_plus_image"": 32, ""single_real_image"": 32, ""text_only_no_image_control"": 32, ""two_real_images"": 32}",1.0000217898154402,1.0000217898154402,70943fad1bf750c6b4db1c20bd1847150aa8177fdc3f1b0fb88f066c049cf1d5,0906c01cfc6adb8e6b5a4def21ae78d67a3f6888f702201bfe03d3d4aec80ce9,True
128,text_image_split,CONFLICTED_coarse_modality_separation,128,47600528,128,9907,"{""long_text_plus_image"": 32, ""single_real_image"": 32, ""text_only_no_image_control"": 32, ""two_real_images"": 32}",1.0000217898154402,1.0000217898154402,70943fad1bf750c6b4db1c20bd1847150aa8177fdc3f1b0fb88f066c049cf1d5,0906c01cfc6adb8e6b5a4def21ae78d67a3f6888f702201bfe03d3d4aec80ce9,True
