Baseline,Observation,Materiality,ConfoundOrAlternative,ControlExecuted,Status
SERE,Official EP B1 ChartQA loss19.53125pp and GQA7.03125pp,HIGH,Existing S4 recovers100pct and88.9pct,Official calibration_HF_and_EP_B1_B4_B16_S_rho_TRIVIAL_CONTROLS,REAL_LOSS_BUT_INCREMENTAL_FIX
SERE,Natural output length grows under aggressive rerouting,MEASURED_NOT_WHOLE_EXPLANATION,Port union and decision cost remains without intended changes,Fixed32_and_S8_noop_through_EOS_parity,PORT_COST_NOT_ORIGINAL_PAPER_FAILURE
Libra,Vision recall lower than Text,LOW_VALID_GPU_HEADROOM,Prediction count is not execution value,8groups_exact_current_route_oracle_gain0.146pct,NO_MATERIAL_PREDICTION_SUCCESSOR
Libra,Native small-model prefill slower than vanilla,REAL_BOUNDED_RUNTIME_DIFFERENCE,Known short-window limit and unmatched original235B_355B_scale,Native_text128_2048_8192_and_Nsight_overlap,NOT_NEW_MLLM_FAILURE
Libra,Large8192 oracle-interleaving corrupts outputs,INVALID_DIAGNOSTIC,No-hook native passes80_of80_first_tokens,Fresh_no_oracle_native_engine,PORT_DIAGNOSTIC_FAILURE_EXCLUDED
Libra,One_of32_native_VL_inputs_differs_from_HF,BRIDGE_LIMITATION,Both_native_vanilla_and_Libra_differ_together,Native_internal320_of320_agreement_and_HFcomparison,APPROXIMATE_PORT_NOT_LIBRA_QUALITY_FAILURE
MoDES,Completed_official_target85_loses_ChartQA_quality,MATERIAL_BUT_KNOWN,Original_paper_already_reports_OCR_tradeoff,1024_grid100_full_search_and_256_heldout_quality,NOT_NOVEL_FAILURE
MoDES,Original_port_repeated_metadata_per_layer,PORT_BUG,Official_source_once_per_forward,Exact96_output_cache_lifetime_control,REPAIRED_NOT_SUCCESSOR
MoDES,Corrected_GQA_B16_initial_gain7.587pct,NOT_ROBUST,Independent_runs_minus1.132_and_minus0.909pct,Three_independent_engines,NO_STABLE_LARGE_GAIN
MoDES,Decode_skipping_tiny_but_decision_cost_remains,KNOWN_PHASE_EFFECT_AND_PORT_COST,Sampled_early_layers_not_full_distribution,Noop_fixed_output_scheduler_and_prefill_only_controls,NO_NONTRIVIAL_SUCCESSOR_HEADROOM
