scope,key,modality,rank,assignment_count,expert
global,all,vision,0.0,1531902,
global,all,vision,1.0,1583342,
global,all,vision,2.0,1513444,
global,all,vision,3.0,1488048,
global,all,vision,,43739,0.0
global,all,vision,,46787,1.0
global,all,vision,,44915,2.0
global,all,vision,,51213,3.0
global,all,vision,,40904,4.0
global,all,vision,,48176,5.0
global,all,vision,,44144,6.0
global,all,vision,,53993,7.0
global,all,vision,,45000,8.0
global,all,vision,,41275,9.0
global,all,vision,,39954,10.0
global,all,vision,,40697,11.0
global,all,vision,,43998,12.0
global,all,vision,,40034,13.0
global,all,vision,,49957,14.0
global,all,vision,,40046,15.0
global,all,vision,,48248,16.0
global,all,vision,,35542,17.0
global,all,vision,,51059,18.0
global,all,vision,,46815,19.0
global,all,vision,,46262,20.0
global,all,vision,,54905,21.0
global,all,vision,,43882,22.0
global,all,vision,,52663,23.0
global,all,vision,,40486,24.0
global,all,vision,,56526,25.0
global,all,vision,,49300,26.0
global,all,vision,,53001,27.0
global,all,vision,,59730,28.0
global,all,vision,,60676,29.0
global,all,vision,,56899,30.0
global,all,vision,,61076,31.0
global,all,vision,,56169,32.0
global,all,vision,,44067,33.0
global,all,vision,,56918,34.0
global,all,vision,,46566,35.0
global,all,vision,,58622,36.0
global,all,vision,,47877,37.0
global,all,vision,,41987,38.0
global,all,vision,,40194,39.0
global,all,vision,,50119,40.0
global,all,vision,,55578,41.0
global,all,vision,,51501,42.0
global,all,vision,,60997,43.0
global,all,vision,,51564,44.0
global,all,vision,,50456,45.0
global,all,vision,,54107,46.0
global,all,vision,,56925,47.0
global,all,vision,,41407,48.0
global,all,vision,,61588,49.0
global,all,vision,,38527,50.0
global,all,vision,,50723,51.0
global,all,vision,,46500,52.0
global,all,vision,,37650,53.0
global,all,vision,,50721,54.0
global,all,vision,,45666,55.0
global,all,vision,,40221,56.0
global,all,vision,,57102,57.0
global,all,vision,,44390,58.0
global,all,vision,,62488,59.0
global,all,vision,,45988,60.0
global,all,vision,,47954,61.0
global,all,vision,,44454,62.0
global,all,vision,,44316,63.0
global,all,vision,,43511,64.0
global,all,vision,,49717,65.0
global,all,vision,,50305,66.0
global,all,vision,,52393,67.0
global,all,vision,,51717,68.0
global,all,vision,,38294,69.0
global,all,vision,,49922,70.0
global,all,vision,,51618,71.0
global,all,vision,,48305,72.0
global,all,vision,,44905,73.0
global,all,vision,,51337,74.0
global,all,vision,,33767,75.0
global,all,vision,,50394,76.0
global,all,vision,,31807,77.0
global,all,vision,,47333,78.0
global,all,vision,,43905,79.0
global,all,vision,,49098,80.0
global,all,vision,,58980,81.0
global,all,vision,,54757,82.0
global,all,vision,,40752,83.0
global,all,vision,,42917,84.0
global,all,vision,,49863,85.0
global,all,vision,,49014,86.0
global,all,vision,,31161,87.0
global,all,vision,,53247,88.0
global,all,vision,,42221,89.0
global,all,vision,,55294,90.0
global,all,vision,,46744,91.0
global,all,vision,,49920,92.0
global,all,vision,,58427,93.0
global,all,vision,,46698,94.0
global,all,vision,,45121,95.0
global,all,vision,,45392,96.0
global,all,vision,,47764,97.0
global,all,vision,,47806,98.0
global,all,vision,,39501,99.0
global,all,vision,,43652,100.0
global,all,vision,,44023,101.0
global,all,vision,,46792,102.0
global,all,vision,,48803,103.0
global,all,vision,,46693,104.0
global,all,vision,,49245,105.0
global,all,vision,,44410,106.0
global,all,vision,,52133,107.0
global,all,vision,,43867,108.0
global,all,vision,,50245,109.0
global,all,vision,,43808,110.0
global,all,vision,,50543,111.0
global,all,vision,,48662,112.0
global,all,vision,,50832,113.0
global,all,vision,,49216,114.0
global,all,vision,,37423,115.0
global,all,vision,,37854,116.0
global,all,vision,,43223,117.0
global,all,vision,,43995,118.0
global,all,vision,,52707,119.0
global,all,vision,,46265,120.0
global,all,vision,,44035,121.0
global,all,vision,,44460,122.0
global,all,vision,,48063,123.0
global,all,vision,,45316,124.0
global,all,vision,,47103,125.0
global,all,vision,,46306,126.0
global,all,vision,,57911,127.0
layer,0,vision,0.0,33044,
layer,0,vision,1.0,34194,
layer,0,vision,2.0,27844,
layer,0,vision,3.0,32350,
layer,0,vision,,876,0.0
layer,0,vision,,446,1.0
layer,0,vision,,886,2.0
layer,0,vision,,1190,3.0
layer,0,vision,,2466,4.0
layer,0,vision,,443,5.0
layer,0,vision,,521,6.0
layer,0,vision,,1669,7.0
layer,0,vision,,1696,8.0
layer,0,vision,,729,9.0
layer,0,vision,,547,10.0
layer,0,vision,,767,11.0
layer,0,vision,,1417,12.0
layer,0,vision,,1088,13.0
layer,0,vision,,1342,14.0
layer,0,vision,,410,15.0
layer,0,vision,,545,16.0
layer,0,vision,,1166,17.0
layer,0,vision,,867,18.0
layer,0,vision,,1909,19.0
layer,0,vision,,1084,20.0
layer,0,vision,,973,21.0
layer,0,vision,,959,22.0
layer,0,vision,,1242,23.0
layer,0,vision,,1378,24.0
layer,0,vision,,1064,25.0
layer,0,vision,,1263,26.0
layer,0,vision,,1058,27.0
layer,0,vision,,425,28.0
layer,0,vision,,617,29.0
layer,0,vision,,1162,30.0
layer,0,vision,,839,31.0
layer,0,vision,,1944,32.0
layer,0,vision,,1531,33.0
layer,0,vision,,1007,34.0
layer,0,vision,,2241,35.0
layer,0,vision,,1208,36.0
layer,0,vision,,1243,37.0
layer,0,vision,,955,38.0
layer,0,vision,,897,39.0
layer,0,vision,,1170,40.0
layer,0,vision,,576,41.0
layer,0,vision,,1292,42.0
layer,0,vision,,885,43.0
layer,0,vision,,1114,44.0
layer,0,vision,,860,45.0
layer,0,vision,,630,46.0
layer,0,vision,,1545,47.0
layer,0,vision,,630,48.0
layer,0,vision,,1093,49.0
layer,0,vision,,846,50.0
