pair_id,task,condition,intervention,horizon,expected_answer,parsed_answer,baseline_correct,correct,answer_consistent,tokens_exact,logit_cosine,logit_kl,logit_max_abs
identity_same_00,identity,stock,stock,0,YES,YES,True,True,True,True,1.0,0.0,0.0
identity_same_02,identity,stock,stock,0,YES,YES,True,True,True,True,1.0,0.0,0.0
identity_same_04,identity,stock,stock,0,YES,YES,True,True,True,True,0.9999999999999998,0.0,0.0
identity_different_00,identity,stock,stock,0,NO,NO,True,True,True,True,1.0,0.0,0.0
identity_different_02,identity,stock,stock,0,NO,NO,True,True,True,True,0.9999999999999998,0.0,0.0
identity_different_04,identity,stock,stock,0,NO,NO,True,True,True,True,0.9999999999999998,0.0,0.0
brightness_second_00,brightness,stock,stock,0,SECOND,FIRST,False,False,True,True,1.0000000000000002,0.0,0.0
brightness_second_01,brightness,stock,stock,0,SECOND,FIRST,False,False,True,True,1.0,0.0,0.0
brightness_second_02,brightness,stock,stock,0,SECOND,SECOND,True,True,True,True,1.0,0.0,0.0
brightness_second_03,brightness,stock,stock,0,SECOND,FIRST,False,False,True,True,1.0,0.0,0.0
brightness_second_04,brightness,stock,stock,0,SECOND,FIRST,False,False,True,True,1.0000000000000002,0.0,0.0
brightness_second_05,brightness,stock,stock,0,SECOND,FIRST,False,False,True,True,1.0,0.0,0.0
identity_same_00,identity,visual_h0,visual,0,YES,YES,True,True,True,True,1.0,0.0,0.0
identity_same_02,identity,visual_h0,visual,0,YES,YES,True,True,True,True,1.0,0.0,0.0
identity_same_04,identity,visual_h0,visual,0,YES,YES,True,True,True,True,0.9999999999999998,0.0,0.0
identity_different_00,identity,visual_h0,visual,0,NO,NO,True,True,True,True,1.0,0.0,0.0
identity_different_02,identity,visual_h0,visual,0,NO,NO,True,True,True,True,0.9999999999999998,0.0,0.0
identity_different_04,identity,visual_h0,visual,0,NO,NO,True,True,True,True,0.9999999999999998,0.0,0.0
brightness_second_00,brightness,visual_h0,visual,0,SECOND,FIRST,False,False,True,True,1.0000000000000002,0.0,0.0
brightness_second_01,brightness,visual_h0,visual,0,SECOND,FIRST,False,False,True,True,1.0,0.0,0.0
brightness_second_02,brightness,visual_h0,visual,0,SECOND,SECOND,True,True,True,True,1.0,0.0,0.0
brightness_second_03,brightness,visual_h0,visual,0,SECOND,FIRST,False,False,True,True,1.0,0.0,0.0
brightness_second_04,brightness,visual_h0,visual,0,SECOND,FIRST,False,False,True,True,1.0000000000000002,0.0,0.0
brightness_second_05,brightness,visual_h0,visual,0,SECOND,FIRST,False,False,True,True,1.0,0.0,0.0
identity_same_00,identity,full_h0,full,0,YES,YES,True,True,True,True,1.0,0.0,0.0
identity_same_02,identity,full_h0,full,0,YES,YES,True,True,True,True,1.0,0.0,0.0
identity_same_04,identity,full_h0,full,0,YES,YES,True,True,True,True,0.9999999999999998,0.0,0.0
identity_different_00,identity,full_h0,full,0,NO,NO,True,True,True,True,1.0,0.0,0.0
identity_different_02,identity,full_h0,full,0,NO,NO,True,True,True,True,0.9999999999999998,0.0,0.0
