timestamp,stage,attempt,status,evidence,notes
2026-09-14T17:10:00+09:00,contract,spec_copy,PASS,sha256 ff2b74a15945a004b55f5e151362f00a3e6e2e5315f0a63fbd0a04fbeb5b6cda,source and working copy byte-identical
2026-09-14T17:12:00+09:00,substrate,model_runtime_audit,PASS,config and source audit,dense TP4 routed EP4 DP1; 64 experts/rank
2026-09-14T17:18:00+09:00,shape_atlas,measured_route_live_filter,PASS,4650 validated layer-waves,Epoch-like sensitivity only; not measured Epoch
2026-09-14T17:23:33+09:00,existing_paths,smoke,PASS,4 rank DeepEP replay,physical GPUs 4-7 only
2026-09-14T17:24:00+09:00,existing_paths,initial_sweep,PASS,25 real route cases,normal cached and low-latency valid
2026-09-14T17:26:11+09:00,profiling,nsight_very_small_large,PASS,two nsys-rep traces,total trace polluted by init; kernel medians only
2026-09-14T17:34:45+09:00,existing_paths,five_restart_real,PASS,375 case-policy-restart summaries,LL beats normal 125/125 paired cases
2026-09-14T17:39:00+09:00,oracle,O0_O1_O2_O3,PASS,HEADROOM_ORACLE.csv,O3 incremental 2.2875/2.1000 percent
2026-09-14T17:42:00+09:00,replay_controls,fanout_skew_remote,PASS,15 deterministic matched-M controls,M 32/128/512 fanout 1/2/4
2026-09-14T17:43:19+09:00,existing_paths,five_restart_controls,PASS,CONTROLLED_KERNEL_BENCH.csv,LL beats normal 15/15 controls
2026-09-14T17:46:00+09:00,cuda_prototype,promotion_gate,SKIPPED,credible O3 below 5 percent,mandatory 12 percent implementation gate failed
2026-09-14T17:47:00+09:00,generality,EP8_second_model,SKIPPED,no EP4 success,per spec
2026-09-14T17:45:18+09:00,gpu_utilization,burn_restart,PASS,task-owned workers GPUs 4-7,started after final measurement
